Hotel;Dirección;Puntuación;Reseñas;Booking.com;Expedia;Agoda;Atrapalo;Cocha
NH Collection Plaza Santiago;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
The Singular Santiago;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Hotel Boutique Le Reve;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
The Ritz-Carlton, Santiago;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Atton Vitacura;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
De Blasis B&B;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Ibis Santiago Estación Central;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Best Western Premier Marina Las Condes;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
The Aubrey Boutique Hotel;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Boulevard Suites Hotel;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Hotel Cumbres Lastarria;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Courtyard by Marriott Santiago Las Condes;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Lastarria Boutique Hotel;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Hotel Altiplanico Bellas Artes;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Plaza El Bosque Nueva Las Condes;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Renaissance Santiago Hotel;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Hotel Santiago;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Hotel Regal Pacific Santiago;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
W Santiago;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
Santiago Marriott Hotel;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A
