Hotel;Puntuación;Reseñas;Booking.com;Expedia;Agoda;Atrapalo;Cocha
NH Collection Plaza Santiago;8.6;2837;;;;;
The Singular Santiago;9.0;744;;;;;
Hotel Boutique Le Reve;9.5;357;;;;;
The Ritz-Carlton, Santiago;9.2;1531;;;;;
Atton Vitacura;8.8;3517;;;;;
De Blasis B&B;9.2;317;;;;;
Ibis Santiago Estación Central;8.1;7375;;;;;
Best Western Premier Marina Las Condes;8.8;1748;;;;;
The Aubrey Boutique Hotel;9.3;270;;;;;
Boulevard Suites Hotel;8.7;493;;;;;
Hotel Cumbres Lastarria;9.2;1309;;;;;
Courtyard by Marriott Santiago Las Condes;9.0;1053;;;;;
Lastarria Boutique Hotel;9.0;229;;;;;
Hotel Altiplanico Bellas Artes;9.1;1122;;;;;
Plaza El Bosque Nueva Las Condes;8.9;5105;;;;;
Renaissance Santiago Hotel;9.0;562;;;;;
Hotel Santiago;9.0;1665;;;;;
Hotel Regal Pacific Santiago;9.1;820;;;;;
W Santiago;9.0;1918;;;;;
Santiago Marriott Hotel;9.1;2730;;;;;
